model,fold_id,split_policy,test_rows,test_positives,test_negatives,roc_auc,pr_auc,balanced_accuracy,precision,recall,f1,mcc
dummy,1,leakage_aware_group_stratified,592,54,538,0.5,0.09121621621621621,0.5,0.0,0.0,0.0,0.0
dummy,2,leakage_aware_group_stratified,592,54,538,0.5,0.09121621621621621,0.5,0.0,0.0,0.0,0.0
dummy,3,leakage_aware_group_stratified,592,54,538,0.5,0.09121621621621621,0.5,0.0,0.0,0.0,0.0
dummy,4,leakage_aware_group_stratified,592,54,538,0.5,0.09121621621621621,0.5,0.0,0.0,0.0,0.0
dummy,5,leakage_aware_group_stratified,591,53,538,0.5,0.08967851099830795,0.5,0.0,0.0,0.0,0.0
logistic_regression,1,leakage_aware_group_stratified,592,54,538,0.890782045986507,0.6598044182685261,0.7786038826931021,0.532258064516129,0.6111111111111112,0.5689655172413793,0.5239277461670149
logistic_regression,2,leakage_aware_group_stratified,592,54,538,0.8573247969158749,0.47780592339978106,0.7906168250034421,0.49295774647887325,0.6481481481481481,0.56,0.5150990289754344
logistic_regression,3,leakage_aware_group_stratified,592,54,538,0.9250998210106017,0.6733748694143903,0.8452430125292578,0.5256410256410257,0.7592592592592593,0.6212121212121212,0.5877789789302433
logistic_regression,4,leakage_aware_group_stratified,592,54,538,0.8695442654550462,0.5242666949179622,0.795194823075864,0.42045454545454547,0.6851851851851852,0.5211267605633803,0.4778264055454184
logistic_regression,5,leakage_aware_group_stratified,591,53,538,0.8629445184821491,0.531608131276663,0.7589955811180473,0.4626865671641791,0.5849056603773585,0.5166666666666667,0.4668188429407117
random_forest,1,leakage_aware_group_stratified,592,54,538,0.9057896186148974,0.7086428022033593,0.6388888888888888,1.0,0.2777777777777778,0.43478260869565216,0.5089228854845507
random_forest,2,leakage_aware_group_stratified,592,54,538,0.8943962549910506,0.5750345398368062,0.580545229244114,0.75,0.16666666666666666,0.2727272727272727,0.32911919759388536
random_forest,3,leakage_aware_group_stratified,592,54,538,0.9055486713479278,0.7206369837183294,0.6481481481481481,1.0,0.2962962962962963,0.45714285714285713,0.5260693596793256
random_forest,4,leakage_aware_group_stratified,592,54,538,0.8845862591215751,0.6806016396244352,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365,0.45401571360387266
random_forest,5,leakage_aware_group_stratified,591,53,538,0.8876692151223959,0.6670773195086759,0.6217121414042225,0.9285714285714286,0.24528301886792453,0.3880597014925373,0.4573419586231768
