evidence_package,representation,classifier,fold_id,n_rows,n_positives,n_negatives,roc_auc,pr_auc,brier_score,expected_calibration_error_10_bins,best_mcc,best_mcc_threshold,best_f1,best_f1_threshold
P-SIGNAL-001,physicochemical_features,dummy,1,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-001,physicochemical_features,dummy,2,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-001,physicochemical_features,dummy,3,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-001,physicochemical_features,dummy,4,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-001,physicochemical_features,dummy,5,591,53,538,0.500000,0.089679,0.089679,0.089679,0.000000,0.000000,0.164596,0.000000
P-SIGNAL-001,physicochemical_features,logistic_regression,1,592,54,538,0.863521,0.603912,0.140899,0.250585,0.575268,0.830000,0.560976,0.820000
P-SIGNAL-001,physicochemical_features,logistic_regression,2,592,54,538,0.863142,0.442580,0.151650,0.258849,0.451713,0.720000,0.504065,0.720000
P-SIGNAL-001,physicochemical_features,logistic_regression,3,592,54,538,0.871885,0.551843,0.152140,0.264891,0.513205,0.720000,0.559322,0.720000
P-SIGNAL-001,physicochemical_features,logistic_regression,4,592,54,538,0.837223,0.452205,0.157508,0.260244,0.460043,0.840000,0.488889,0.700000
P-SIGNAL-001,physicochemical_features,logistic_regression,5,591,53,538,0.857789,0.461633,0.145924,0.248427,0.396157,0.860000,0.433962,0.710000
P-SIGNAL-001,physicochemical_features,random_forest,1,592,54,538,0.906426,0.679535,0.048464,0.019215,0.607645,0.440000,0.608696,0.380000
P-SIGNAL-001,physicochemical_features,random_forest,2,592,54,538,0.839443,0.481033,0.064205,0.037101,0.504947,0.460000,0.517647,0.460000
P-SIGNAL-001,physicochemical_features,random_forest,3,592,54,538,0.877650,0.647869,0.051361,0.028773,0.604440,0.560000,0.618557,0.440000
P-SIGNAL-001,physicochemical_features,random_forest,4,592,54,538,0.859184,0.549895,0.061582,0.032593,0.482799,0.660000,0.496552,0.210000
P-SIGNAL-001,physicochemical_features,random_forest,5,591,53,538,0.876131,0.545196,0.056686,0.022775,0.528384,0.370000,0.559140,0.370000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,1,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,2,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,3,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,4,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,dummy,5,591,53,538,0.500000,0.089679,0.089679,0.089679,0.000000,0.000000,0.164596,0.000000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,1,592,54,538,0.923103,0.696201,0.061961,0.047827,0.592714,0.620000,0.630631,0.620000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,2,592,54,538,0.856051,0.453541,0.086331,0.079885,0.470509,0.470000,0.519084,0.470000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,3,592,54,538,0.898010,0.619398,0.082987,0.087370,0.612104,0.920000,0.639175,0.920000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,4,592,54,538,0.848823,0.471595,0.104587,0.112542,0.457372,0.840000,0.508772,0.840000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,logistic_regression,5,591,53,538,0.895630,0.644631,0.081798,0.093854,0.599512,0.830000,0.634615,0.830000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,1,592,54,538,0.904378,0.749247,0.048488,0.037984,0.690195,0.340000,0.689655,0.340000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,2,592,54,538,0.892641,0.553064,0.059237,0.040349,0.566665,0.180000,0.607143,0.200000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,3,592,54,538,0.921795,0.745281,0.048368,0.034606,0.678278,0.320000,0.681818,0.320000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,4,592,54,538,0.888218,0.692762,0.050451,0.035918,0.629932,0.290000,0.652632,0.290000
P-SIGNAL-002,esm2_t12_35m_mean_pooled,random_forest,5,591,53,538,0.906660,0.705259,0.049333,0.040479,0.659769,0.190000,0.690909,0.190000
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,1,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,2,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,3,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,4,592,54,538,0.500000,0.091216,0.091216,0.091216,0.000000,0.000000,0.167183,0.000000
P-SIGNAL-003,esm2_t30_150m_mean_pooled,dummy,5,591,53,538,0.500000,0.089679,0.089679,0.089679,0.000000,0.000000,0.164596,0.000000
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,1,592,54,538,0.890782,0.659804,0.066639,0.054744,0.624799,0.960000,0.637363,0.900000
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,2,592,54,538,0.857325,0.477806,0.082716,0.083660,0.515099,0.500000,0.560000,0.500000
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,3,592,54,538,0.925100,0.673375,0.063504,0.059844,0.657315,0.880000,0.680412,0.880000
P-SIGNAL-003,esm2_t30_150m_mean_pooled,logistic_regression,4,592,54,538,0.869544,0.524267,0.089261,0.096839,0.550993,0.740000,0.593220,0.740000
