row_index,sequence_id,label,group_id,fold_id,split_policy,group_size,grouping_method
0,legacy_bbb_000001,1,combined_similarity_00001,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
1,legacy_bbb_000002,1,combined_similarity_00002,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
2,legacy_bbb_000003,1,combined_similarity_00003,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
3,legacy_bbb_000004,1,combined_similarity_00004,1,leakage_aware_group_stratified,2,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
4,legacy_bbb_000005,1,combined_similarity_00004,1,leakage_aware_group_stratified,2,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
5,legacy_bbb_000006,1,combined_similarity_00005,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
6,legacy_bbb_000007,1,combined_similarity_00006,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
7,legacy_bbb_000008,1,combined_similarity_00007,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
8,legacy_bbb_000009,1,combined_similarity_00008,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
9,legacy_bbb_000010,1,combined_similarity_00009,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
10,legacy_bbb_000011,1,combined_similarity_00010,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
11,legacy_bbb_000012,1,combined_similarity_00011,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
12,legacy_bbb_000013,1,combined_similarity_00012,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
13,legacy_bbb_000014,1,combined_similarity_00013,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
14,legacy_bbb_000015,1,combined_similarity_00014,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
15,legacy_bbb_000016,1,combined_similarity_00015,2,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
16,legacy_bbb_000017,1,combined_similarity_00016,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
17,legacy_bbb_000018,1,combined_similarity_00017,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
18,legacy_bbb_000019,1,combined_similarity_00018,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
19,legacy_bbb_000020,1,combined_similarity_00019,5,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
20,legacy_bbb_000021,1,combined_similarity_00020,1,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
21,legacy_bbb_000022,1,combined_similarity_00021,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
22,legacy_bbb_000023,1,combined_similarity_00022,4,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
23,legacy_bbb_000024,1,combined_similarity_00023,3,leakage_aware_group_stratified,1,combined_exact+edit_distance<=1+kmer3_jaccard>=0.8
